id,kind,deck,model,prompt,review,review_notes,confidence
fw-hendrickson-spinner,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult Hendrickson mayfly (Ephemerella subvaria) at the spent spinner stage, dead and lying flat in the water surface film, viewed from directly above, body about 10 mm long. Slender segmented abdomen in rusty reddish-brown with paler margins between the segments, thorax darker. One pair of large fully clear glassy transparent wings crossed by fine light brown veins, spread flat out to the sides in a cross shape and lying on the water, plus a smaller second pair of clear hindwings behind them. Small head with large compound eyes, six thin legs collapsed and splayed. Three long slender tail filaments, longer than the body, splayed apart behind, pale with fine smoky brown bands at the joints. It is an adult aquatic insect, a mayfly, not a bird, not a dragonfly.",minor,'two or three extremely long tail filaments splayed' - Ephemerella adults have three tails | 'two clear glassy transparent wings' - omits the smaller pair of hindwings,medium
fw-march-brown-nymph,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. A March Brown mayfly nymph (Maccaffertium vicarium), the aquatic immature insect underwater, dorsal view from directly above, body about 14 mm long excluding the tails. Strongly flattened, wide, pancake-shaped clinger in mottled light and dark brown. Broad blunt rounded head, as wide as the thorax, with the compound eyes set on the upper surface of the head and short antennae. Six legs splayed straight out to the sides rather than beneath the body, the femora broad and flat and banded with dark markings. Seven pairs of oval flat plate gills along the sides of abdominal segments one to seven, projecting out past the edges of the body like a fringe of small paddles. Thorax bears one pair of dark forewing pads and a smaller pair of hindwing pads, with no actual wings. Three slender tail filaments with dark bands, held spread apart. It is an aquatic insect nymph, not a bird, not a shrimp.",minor,"'three tail filaments (two for Epeorus/Quill Gordon)' - leaked template text; Maccaffertium nymphs have three tails and the Epeorus aside only invites a wrong two-tailed drawing | 'small head with short antennae' understates the key character - the Heptageniid head is broad, flat and blunt, as wide as or wider than the thorax, with the eyes on the upper surface",high
fw-march-brown-dun,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult March Brown mayfly (Maccaffertium vicarium) at the dun or subimago stage, strict side view, standing on the water surface with a waterline across the image, a large mayfly with a body about 12 mm long and wings about 15 mm. Stout segmented abdomen curving slightly upward at the rear, pale yellowish-tan to reddish-brown with darker markings along the segment edges; robust thorax; head with large compound eyes and short antennae; six legs banded with dark marks. One pair of large wings held together vertically upright over the back like a sail, the membrane pale and only faintly clouded but crossed by heavy yellowish-brown lengthwise veins and dark purplish-brown crossveins, which together give the wing a strongly barred, netted appearance; a smaller second pair of hindwings sits behind them. Exactly two long slender tail filaments trailing behind. It is an adult aquatic insect, a mayfly, not a bird, not a moth.",minor,"'two or three very long thin tail filaments' - Heptageniid adults including Maccaffertium have exactly two tails; Troutnut's M. vicarium page gives 2 tails for both dun and spinner. NOTE a source conflict: the Wikipedia Heptageniidae page loosely states adults have 'three long tails', but the species-level description and the standard family diagnosis give two, and I follow the species-level source | 'two large translucent opaque-tinted wings' - omits the smaller hindwing pair, which is well developed in Heptageniidae | 'heavily mottled wings' is an over-reading: Troutnut describes the wing me",medium
fw-green-drake-nymph,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An Eastern Green Drake mayfly nymph (Ephemera guttulata), the aquatic immature burrowing insect, dorsal view from directly above, a large nymph about 20 mm long excluding the tails. Elongate cylindrical pale greyish-brown body with no dark pattern on the abdominal segments. A pair of large mandibular tusks projects forward from the front of the head and curves upward, clearly visible from above. Fore tibiae broadened into shovel-like digging blades. Seven pairs of long, forked, elongate feathery gills with finely fringed margins on abdominal segments two to seven, curled up over the top of the abdomen so the whole insect looks fluffy along the back. Small head with short antennae; thorax bears dark wing pads and no actual wings; six legs. Three tail filaments fringed with fine hairs. NOTE: the western Green Drake, Drunella grandis, is a different insect and needs its own prompt - a stout spiny crawler with no tusks, erect finger-like spines down the back of the abdomen and flat plate gills. It is an aquatic insect nymph, not a bird, not a shrimp.",wrong,"'Drunella grandis / Ephemera guttulata' - one prompt cannot draw both; these are a tusked burrower and a spiny crawler with completely different silhouettes. This entry needs to be split into two prompts | 'a row of small gills along each side' - wrong for both. Ephemera gills are long, forked, feathery and held over the BACK; Drunella gills are flat plates on top of segments 3-7 | 'chunky crawler' with 'fringed gills' - the fringed feathery gills belong to the burrowing Ephemera, the crawler build belongs to Drunella; the prompt fuses characters from two animals into one non-existent insect |",high
fw-green-drake-dun,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult Eastern Green Drake mayfly (Ephemera guttulata) at the dun or subimago stage, strict side view, standing on the water surface with a waterline across the image, a very large mayfly with a body about 14 mm long and wings about 14 mm. Long stout segmented abdomen in creamy greenish-yellow with dark olive-brown markings along the sides of the segments, curving slightly upward at the rear; robust thorax; head with large compound eyes and short antennae; six legs. One pair of very large wings held together vertically upright over the back like a sail, the membrane pale and dull but heavily marked with dark purplish-brown blotches scattered along and between the veins, plus a smaller second pair of similarly blotched hindwings behind them. Three long slender tail filaments trailing behind. NOTE: the western Green Drake, Drunella grandis, is a separate species needing its own prompt - bright green fading to brown, abdomen conspicuously ringed dark purplish-brown with pale margins, wings pale with dark purplish-brown veins and no blotches. It is an adult aquatic insect, a mayfly, not a bird, not a moth.",wrong,"'Drunella grandis / Ephemera guttulata' - two species with different bodies and, crucially, different wings; the eastern insect has heavily blotched dark-patterned wings, the western has pale wings with dark veins only. One prompt cannot render both | 'Huge olive-green body, dark slate wings' matches neither source description cleanly: Troutnut gives E. guttulata as greenish-yellow with blotched wings and D. grandis as bright green fading to brown with an abdomen conspicuously ringed in purplish-brown and pale | 'two or three very long thin tail filaments' - both species have three tails as ad",high
fw-green-drake-spinner,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult Eastern Green Drake mayfly (Ephemera guttulata) at the spent spinner stage, the insect anglers call the Coffin Fly, dead and lying flat in the water surface film, viewed from directly above, a large mayfly with a body about 13 mm and wings about 14 mm. Long segmented abdomen chalky white to cream with small dark brown markings along the sides of the segments; darker brown thorax. One pair of large wings spread flat out to the sides in a cross shape and lying on the water, the membrane largely blackish and heavily clouded with dark purplish-brown blotches along the veins, plus a smaller second pair of similarly dark hindwings behind them; the overall effect is a striking black-and-white insect. Head with large compound eyes, six thin legs collapsed and splayed. Three very long slender tail filaments, longer than the body, splayed apart behind. It is an adult aquatic insect, a mayfly, not a bird, not a dragonfly.",wrong,"'two clear glassy transparent wings spread flat' directly contradicts the same prompt's own note 'Coffin fly (east) - cream body, dark wings, spent'. Troutnut describes the Coffin Fly's wings as 'largely blackish' with extensive dark purplish-brown blotches - the opposite of clear | 'Drunella grandis / Ephemera guttulata' with the Coffin Fly description attached - only E. guttulata produces the Coffin Fly; applying that name and colouring to the western Drunella is simply wrong | 'two or three extremely long tail filaments' - Ephemera adults have three tails | 'two clear glassy transparent win",high
fw-trico-nymph,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. A Trico mayfly nymph (Tricorythodes species), the aquatic immature insect underwater, dorsal view from directly above, a very small nymph about 4 mm long excluding the tails. Squat, short, slightly flattened dark brown to blackish body, often dusted with fine silt. On abdominal segment two, a pair of enlarged hardened roughly triangular gill covers lies flat over the back like small shields, meeting near the mid-line without fusing and concealing the small simple plate gills of segments three to six beneath them; no gills project along the sides of the rear abdomen. Small head with short antennae and eyes at the sides. Thorax bears only ONE pair of dark wing pads, with no hind wing pads at all and no actual wings. Six short legs, each with a single claw. Three slender tail filaments. It is an aquatic insect nymph, not a bird, not a shrimp.",minor,"'a row of small gills along each side' - macroinvertebrates.org gives Tricorythodes a semi-operculate triangular or oval gill cover on segment 2 concealing the plate gills of segments 3-6; an exposed lateral row is the wrong silhouette for this genus | 'dark wing pads on the thorax' left unqualified - Tricorythodes 'lack hind wing pads', a stated genus-level diagnostic, so there is only ONE pair of wing pads | 'three tail filaments (two for Epeorus/Quill Gordon)' - leaked template text about an unrelated genus",high
fw-trico-dun,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult Trico mayfly (Tricorythodes), subimago or dun stage, a single live insect in strict side view standing on the water surface film. Very small: body only 2.5 to 5 mm long, fore wing 3.5 to 7 mm. Slender segmented abdomen of ten visible segments, olive to reddish-brown in the female and pitch-black in the male, a compact darker thorax, a small head with large dark compound eyes and very short fine antennae, six thin legs. One conspicuous pair of triangular fore wings held together vertically upright over the back like a sail, their surface dull, cloudy and opaque rather than glassy, finely veined, with a fringe of minute hairs along the margin; the hind wings are vestigial, mere tiny pads at the wing base carrying only two or three simple veins, almost invisible. Exactly three long thin tail filaments trailing straight behind - two outer cerci and a median terminal filament - noticeably longer in the male than the female. It is a live adult aquatic insect, a mayfly, not a bird, not a moth, not a fishing fly tied on a hook.",minor,"'two or three very long thin tail filaments trailing behind' - the sources are not ambiguous here: Troutnut's key to families of duns and spinners gives Leptohyphidae (Tricorythodes) 'three well-developed tails'. The number is three, not 'two or three'. | 'two large translucent opaque-tinted wings' - self-contradictory, and wrong for a dun. The subimago wing is dull and partially cloudy, not translucent; and the wings are not 'large' - wing length is only 3.5-7 mm and the fore wings are the only conspicuous pair because the hind wings are vestigial. | 'very long thin tail filaments' for a dun ",high
fw-trico-spinner,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. A single adult Trico mayfly (Tricorythodes), spent spinner or imago stage, dead and lying flat in the surface film, viewed from directly above. Very small: body 2.5 to 5 mm long. Slender ten-segmented abdomen, pitch-black in the male and reddish-brown to olive in the female, compact dark thorax, small head with large dark compound eyes. One pair of triangular fore wings, whitish and hyaline with fine venation and conspicuously blackened leading-edge veins, spread flat and limp out to the sides at right angles to the body in a cross shape, resting on the water; hind wings vestigial, tiny pads with only two or three simple veins. Six thin legs collapsed and splayed, brownish femora and pale yellowish-white feet. Exactly three long thin tail filaments splayed behind, whitish with dark joints, roughly twice the body length in the male. The posture is that of a dying insect: limp, unsupported, pinned in the surface film. It is a live-collected adult aquatic insect, a mayfly, not a bird, not a spider, not a fishing fly tied on a hook.",minor,"'two or three extremely long tail filaments splayed' - the count is three, per Troutnut's family key for Leptohyphidae; and 'extremely long' is a male character (tails about twice body length), not a female one. | 'two clear glassy transparent wings' - the species description says 'whitish, hyaline' with distinctly blackish or purplish-black costal and subcostal veins in the male, so not plainly clear glass; and it omits the vestigial hind wings that are the diagnostic Tricorythodes feature. | 'clouds of them over riffles at dawn' - this sentence describes a mating swarm and directly contradic",high
fw-caddis-larva,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. Three caddisfly larvae of different genera shown side by side in strict lateral view, each a soft grub-like aquatic insect larva under 25 mm long. Left, a free-living Rhyacophila larva: bright green, no case and no retreat, body deeply constricted between segments so it looks beaded, a hard dark brown sclerotized head capsule, only the pronotum plated and the rest of the thorax soft, three pairs of jointed legs on the thorax and no other legs, and a terminal pair of stout anal prolegs each with a single curved hook. Centre, a Hydropsyche larva: tan-olive, all three thoracic segments covered by hard brown dorsal plates, dense rows of branched tufted pale gills along the underside of the abdomen, anal prolegs each with one hook and a conspicuous fan of long hairs, crouched at the mouth of a fixed silk-and-detritus retreat with a fine silk capture net stretched across the current beside it - not a portable case. Right, a Brachycentrus larva part-withdrawn into its portable case, the case tapered and square in cross-section and built from short plant strips laid crosswise, the larva's first abdominal segment without a dorsal hump. All three have chewing mouthparts, no wings, no wing pads and no antennae to speak of. It is an aquatic insect larva, not a caterpillar, not a bird, not a worm with legs, and not a fishing fly tied on a hook.",minor,"'often in a stick or pebble case' applied to all three genera - this is wrong for two of the three. Hydropsyche builds a fixed silk-and-detritus retreat with a filter net and does not carry a case; Rhyacophila is explicitly free-living with no case or retreat. | 'shown partly inside its tubular case of small pebbles and sticks' - Brachycentrus, the only case-maker named, builds a case that is square or round in cross-section from transversely arranged plant pieces, not a pebble tube. A pebble tube is a different family (Glossosomatidae, Limnephilidae). | 'three pairs of legs at the front' is c",high
fw-caddis-pupa,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. A caddisfly pupa (pharate adult) of Hydropsyche, Rhyacophila or Brachycentrus, swimming up through open water, strict lateral view. Body curved into a comma, 10 to 20 mm long, tan to olive-brown with a darker thorax. Exarate pupa: every appendage free of the body and standing clear of it, not fused down like a moth chrysalis. Swollen thorax bearing two pairs of dark developing wing sheaths folded down along the sides. A pair of large dark sickle-shaped functional mandibles projecting forward from the head, used to cut out of the case. Very long thread-like antennae laid back along the sides of the body, reaching almost to the tip of the abdomen. Six free legs, the middle pair much the longest and fringed along their length with dense rows of fine swimming hairs, held out like oars. Segmented abdomen of soft pale segments, each bearing a transverse row of tiny dark hooks on its upper surface, and in some genera short filamentous pale gills along the sides. It is an aquatic insect pupa, not a shrimp, not a bird, not a caterpillar, and not a fishing fly tied on a hook.",minor,"'no legs visible' is not said here, but 'long legs and antennae swept back' understates it: the middle legs are the swimming oars and carry dense fringes of long hairs, which the prompt omits entirely. | 'a silvery sheen of trapped gas around the body' - I could not confirm this in an entomology source. The gas layer at caddis emergence is asserted throughout angling literature; the entomological sources consulted describe pupal gills and a swim to the surface, not a silver gas envelope. Treat as unverified rather than established.",medium
fw-caddis-adult,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult caddisfly (Hydropsyche, Rhyacophila or Brachycentrus), a single live insect in strict lateral view at rest on a wet stone at the water's edge. Two pairs of wings, four wings in all, the narrow fore pair folded down over the broader hind pair so that together they form a steep inverted V, a tent roof pitched over the whole abdomen and hiding it from the side. The wing surface is clothed in fine short hairs, mottled tan and brown, matte - not scaled and never iridescent. Small rounded head with two long thread-like antennae as long as the body or longer, held straight out in front. Mouthparts reduced to a short soft proboscis stub; there is no coiled butterfly tongue. Six slender legs, each foot with five small segments, some bearing spurs. Segmented tan-brown abdomen, hidden beneath the wings in side view. No tails, no cerci, no wing pads. It is an adult aquatic insect, a caddisfly - not a moth, not a bird, and not a fishing fly tied on a hook.",minor,"'mottled tan-brown wings folded over the back in a tent shape' - the tent shape is right but the wing COUNT is never stated. Caddis adults have two pairs, four wings; a prompt that just says 'wings' invites a two-winged drawing. | 'Moth-like' is used twice with no correction - the single most important difference is that caddis wings are clothed in fine hairs, not scales, and the adult has no coiled proboscis. As written the prompt is likely to produce a moth.",high
fw-caddis-diving,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult female caddisfly (Hydropsyche), egg-laying stage, shown fully underwater, swimming down beside a submerged stone, strict lateral view with the water surface visible far above. Two pairs of wings, four wings in all, clamped flat and tight along the back and against the sides of the abdomen in a slim streamlined shape - not tented, not raised. Wing surface clothed in fine hairs, mottled tan-brown, darkened and slicked down by the water, with a faint silvery sheen of trapped air clinging along the body and beneath the wings. Small head with two long thread-like antennae swept back along the body in the current. Six legs, the middle and hind pairs with conspicuously widened tibiae and basal foot segments fringed with long hairs and held out as swimming oars, the front legs tucked. Segmented tan-brown abdomen, its tip carrying a small clear gelatinous mass of pale eggs being pressed against the underside of the stone. No tails. It is an adult aquatic insect swimming underwater, a caddisfly - not a moth, not a bird, not a beetle, and not a fishing fly tied on a hook.",wrong,"'side view resting on the water surface' - flatly contradicts the stage. This entry is the egg-laying adult diving UNDERWATER; the prompt puts it on the surface. | 'wings folded over the back in a tent shape covering the abdomen' - contradicts the entry's own look note ('wings slick to body') and is wrong for a diving female, which clamps the wings tight and streamlined against the abdomen rather than tenting them. | The entire anatomy paragraph is copy-pasted verbatim from the fw-caddis-adult entry, so nothing in it is stage-specific. There is no diving posture, no submerged setting, no egg m",high
fw-golden-stone-nymph,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. A Golden Stonefly nymph (Perlidae: Hesperoperla or Calineuria), the aquatic immature insect, dorsal view from directly above, crawling on a wet cobble. Large and robust, 20 to 40 mm long excluding tails, the body depressed and broad rather than paper-flat. Head broad and blunt with two long many-segmented antennae sweeping forward, chewing mouthparts, and a bold mottled pattern of dark brown on amber-gold across the head and the rectangular pronotum. Thorax of three plated segments; the second and third each bear a dark wing pad, giving two pairs of wing pads in all - never one pair. Six stout sprawling legs, each with two claws, and branched finger-like pale gill tufts clustered on the underside of the thorax at the base of each leg, just visible past the body edge from above. Long segmented golden-brown abdomen with darker banding on each segment. Exactly two long tail filaments - two cerci, never three - trailing behind, sometimes with a small pair of gill tufts between them. No wings, no case, no shell. It is an aquatic insect nymph, not a bird, not a beetle, not a worm with legs, and not a fishing fly tied on a hook.",minor,"'dark wing pads on the thorax' - the count is not given. Stonefly nymphs carry two pairs of wing pads, on the second and third thoracic segments, and the two-pairs point is exactly what separates them from a mayfly nymph's single pair. Leaving it vague wastes the contrast. | 'Flattened segmented body' is defensible for Perlidae but Troutnut describes adults as 'stout bodied' and 'much more ovoid in cross section'; the nymphs are depressed rather than paper-flat.",high
